"","acl.id","X1","text","label","type","target","level","split","round.base","annotator","round","acl.id.matched"
"1","acl1",1,"dalits are lowlives","hate","notgiven","notgiven","original","train",1,"GNZuCtwed3","1",NA
"2","acl10",2,"gay people are a burden to our society","hate","notgiven","notgiven","original","train",1,"GNZuCtwed3","1",NA
"3","acl100",3,"Arabs are not welcome","hate","notgiven","notgiven","original","train",1,"vDe7GN0NrL","1",NA
"4","acl1000",4,"I'm not saying we should actually eliminate heebs.. I just wish they naturally became extinct","hate","notgiven","notgiven","original","train",1,"oemYWm1Tjg","1",NA
"5","acl10000",5,"bananas are for black people","hate","notgiven","notgiven","original","test",1,"QiOKkCi7F8","1",NA
"6","acl10001",6,"asian people are the shit","nothate","none","none","original","test",1,"GNZuCtwed3","1",NA
"7","acl10002",7,"women can not reproduce kids but men can in all cases","hate","notgiven","notgiven","original","test",1,"vDe7GN0NrL","1",NA
"8","acl10003",8,"i hate wearing black in the summer!","nothate","none","none","original","test",1,"LqLKTtrOmx","1",NA
"9","acl10004",9,"Who cares what Chinese people think?","hate","notgiven","notgiven","original","test",1,"CAgNlUizNm","1",NA
"10","acl10005",10,"i try to punch a letter box when i see one","hate","notgiven","notgiven","original","test",1,"LqLKTtrOmx","1",NA
"11","acl10006",11,"I feel sorry for the poor little half caste boy down the street, he's neither one thing nor the other","hate","notgiven","notgiven","original","test",1,"CAgNlUizNm","1",NA
"12","acl10007",12,"this drink sucks, it's awful","nothate","none","none","original","test",1,"oemYWm1Tjg","1",NA
"13","acl10008",13,"gays are purposeless","hate","notgiven","notgiven","original","test",1,"QiOKkCi7F8","1",NA
"14","acl10009",14,"the thought of a world free of blacks makes me so happy","hate","notgiven","notgiven","original","test",1,"TbUBpfn6iP","1",NA
"15","acl1001",15,"It's such a rape culture with these immigrants, women don't even see it as rape","hate","notgiven","notgiven","original","train",1,"CAgNlUizNm","1",NA
"16","acl10010",16,"discrimination against r3t4rdz is not wrong and disgusting, its good","hate","notgiven","notgiven","original","test",1,"TbUBpfn6iP","1",NA
"17","acl10011",17,"Politicians are arseholes","nothate","none","none","original","test",1,"TrRF46JWfP","1",NA
"18","acl10012",18,"Get rid of all the Hindus","hate","notgiven","notgiven","original","test",1,"CAgNlUizNm","1",NA
"19","acl10013",19,"jewish people look violent","hate","notgiven","notgiven","original","test",1,"TbUBpfn6iP","1",NA
"20","acl10014",20,"This shitty camera is awful in taking pictures","nothate","none","none","original","test",1,"vDe7GN0NrL","1",NA
"21","acl10015",21,"Christianity is a massive problem in this country, it should be abolished and the churches should be destroyed","hate","notgiven","notgiven","original","test",1,"CAgNlUizNm","1",NA
"22","acl10016",22,"Our city is getting flooded with kebabs, you know the type I mean.","hate","notgiven","notgiven","original","test",1,"GNZuCtwed3","1",NA
"23","acl10017",23,"I always feel unsafe when surrounded by Arabs","hate","notgiven","notgiven","original","test",1,"TrRF46JWfP","1",NA
"24","acl10018",24,"I hate politicians so much, I wish we got rid of them all","nothate","none","none","original","test",1,"TrRF46JWfP","1",NA
"25","acl10019",25,"i'm going to kill Amy","nothate","none","none","original","test",1,"GNZuCtwed3","1",NA
"26","acl1002",26,"I'm not saying we should actually eliminate kikes.. I just wish they naturally became extinct","hate","notgiven","notgiven","original","train",1,"oemYWm1Tjg","1",NA
"27","acl10020",27,"boris johnson is a cunt","nothate","none","none","original","test",1,"TbUBpfn6iP","1",NA
"28","acl10021",28,"There is a new shop on my block with the sign of the swastika on its door. Customer on the way!","hate","notgiven","notgiven","original","test",1,"oemYWm1Tjg","1",NA
"29","acl10022",29,"goat fucker, goat lover, it's all gross and bestiality!","nothate","none","none","original","test",1,"LqLKTtrOmx","1",NA
"30","acl10023",30,"mandatory face masks should only be applied to those ugly Asians","hate","notgiven","notgiven","original","test",1,"LqLKTtrOmx","1",NA
"31","acl10024",31,"Half caste people are dirty","hate","notgiven","notgiven","original","test",1,"CAgNlUizNm","1",NA
"32","acl10025",32,"I don't want Indians on my street","hate","notgiven","notgiven","original","test",1,"CAgNlUizNm","1",NA
"33","acl10026",33,"People that say all French are filthy, smelly and lazy are wrong","nothate","none","none","original","test",1,"oemYWm1Tjg","1",NA
"34","acl10027",34,"decent people are allowed here, so queers keep out","hate","notgiven","notgiven","original","test",1,"oemYWm1Tjg","1",NA
"35","acl10028",35,"why are black people racist?!","hate","notgiven","notgiven","original","test",1,"LqLKTtrOmx","1",NA
"36","acl10029",36,"why did you buy a new car for your pregnant wife, it is unnecessary as she will not be able to drive it","hate","notgiven","notgiven","original","test",1,"vDe7GN0NrL","1",NA
"37","acl1003",37,"Immigrants have a culture of rape","hate","notgiven","notgiven","original","train",1,"CAgNlUizNm","1",NA
"38","acl10030",38,"women are c o w s","hate","notgiven","notgiven","original","test",1,"GNZuCtwed3","1",NA
"39","acl10031",39,"My beautiful whore friends: i love you all","nothate","none","none","original","test",1,"LqLKTtrOmx","1",NA
"40","acl10032",40,"The Quran says it's fine to marry your sister, it's why they're all inbred","hate","notgiven","notgiven","original","test",1,"CAgNlUizNm","1",NA
"41","acl10033",41,"Muslim women cover because they are ugly","hate","notgiven","notgiven","original","test",1,"GNZuCtwed3","1",NA
"42","acl10034",42,"the next door is a mozzie family","hate","notgiven","notgiven","original","test",1,"vDe7GN0NrL","1",NA
"43","acl10035",43,"i want to stamp on pregnant women","hate","notgiven","notgiven","original","test",1,"TbUBpfn6iP","1",NA
"45","acl10037",45,"this tv presenter is shit","nothate","none","none","original","test",1,"oemYWm1Tjg","1",NA
"46","acl10038",46,"asian people are useless","hate","notgiven","notgiven","original","test",1,"QiOKkCi7F8","1",NA
"47","acl10039",47,"i really dont want muslims in my village","hate","notgiven","notgiven","original","test",1,"TbUBpfn6iP","1",NA
"48","acl1004",48,"Immigrants have a culture of r@pe","hate","notgiven","notgiven","original","train",1,"CAgNlUizNm","1",NA
"49","acl10040",49,"My wife belongs to me and I can do what I like to her","hate","notgiven","notgiven","original","test",1,"CAgNlUizNm","1",NA
"50","acl10041",50,"Blacks don't have feelings","hate","notgiven","notgiven","original","test",1,"CAgNlUizNm","1",NA
"51","acl10042",51,"don't get me wrong I don't hate Indians, but I definitely don't like them","hate","notgiven","notgiven","original","dev",1,"QiOKkCi7F8","1",NA
"52","acl10043",52,"I can't tell the difference between a letterbox and a BOM","hate","notgiven","notgiven","original","dev",1,"TrRF46JWfP","1",NA
"53","acl10044",53,"brown people are the shit","nothate","none","none","original","dev",1,"GNZuCtwed3","1",NA
"54","acl10045",54,"The NHS is waste","nothate","none","none","original","dev",1,"TrRF46JWfP","1",NA
"55","acl10046",55,"Ill punch anyone that says Indians are filthy again","nothate","none","none","original","dev",1,"oemYWm1Tjg","1",NA
"56","acl10047",56,"Blacks were the ruination of this country","hate","notgiven","notgiven","original","dev",1,"CAgNlUizNm","1",NA
"57","acl10048",57,"Fuck sake I hate my friends","nothate","none","none","original","dev",1,"QiOKkCi7F8","1",NA
"58","acl10049",58,"Muslims are hostile to this country and our values","hate","notgiven","notgiven","original","dev",1,"CAgNlUizNm","1",NA
"59","acl1005",59,"I'm not saying we should actually eliminate Ikey-mos.. I just wish they naturally became extinct","hate","notgiven","notgiven","original","train",1,"oemYWm1Tjg","1",NA
"60","acl10050",60,"it is false that all gay people are cunts","nothate","none","none","original","dev",1,"QiOKkCi7F8","1",NA
"61","acl10051",61,"Zionists are the shabbiest","hate","notgiven","notgiven","original","dev",1,"TrRF46JWfP","1",NA
"62","acl10052",62,"I do not want to associate with lesbos","hate","notgiven","notgiven","original","dev",1,"QiOKkCi7F8","1",NA
"63","acl10053",63,"Trans are the opposite of nature","hate","notgiven","notgiven","original","dev",1,"oemYWm1Tjg","1",NA
"64","acl10054",64,"I do not want to associate with refugees","hate","notgiven","notgiven","original","dev",1,"QiOKkCi7F8","1",NA
"65","acl10055",65,"asians look violent","hate","notgiven","notgiven","original","dev",1,"TbUBpfn6iP","1",NA
"66","acl10056",66,"Dear plebs, think twice before you pass by me, and that's a threat!","hate","notgiven","notgiven","original","dev",1,"LqLKTtrOmx","1",NA
"67","acl10057",67,"I do not want to associate with chinks","hate","notgiven","notgiven","original","dev",1,"QiOKkCi7F8","1",NA
"69","acl10059",69,"I say I like women, but I don't","hate","notgiven","notgiven","original","dev",1,"QiOKkCi7F8","1",NA
"70","acl1006",70,"Foreigners have a culture of rape","hate","notgiven","notgiven","original","train",1,"CAgNlUizNm","1",NA
"71","acl10060",71,"All Chinks are lazy","hate","notgiven","notgiven","original","dev",1,"TrRF46JWfP","1",NA
"72","acl10061",72,"You are kidding your boyfriend is mozzie","hate","notgiven","notgiven","original","dev",1,"vDe7GN0NrL","1",NA
"73","acl10062",73,"I can distinguish a Muslim women from a letterbox, but it does take me some time!","hate","notgiven","notgiven","original","dev",1,"TrRF46JWfP","1",NA
"74","acl10063",74,"Gays don't have feelings","hate","notgiven","notgiven","original","dev",1,"CAgNlUizNm","1",NA
"75","acl10064",75,"most blacks are unemployed","hate","notgiven","notgiven","original","dev",1,"CAgNlUizNm","1",NA
"76","acl10065",76,"This area has gone downhill since so many Romanians came here","hate","notgiven","notgiven","original","dev",1,"CAgNlUizNm","1",NA
"77","acl10066",77,"I say I like coons, but I don't","hate","notgiven","notgiven","original","dev",1,"QiOKkCi7F8","1",NA
"78","acl10067",78,"all women are hoes","hate","notgiven","notgiven","original","dev",1,"CAgNlUizNm","1",NA
"79","acl10068",79,"Are you Black or something? Why do you think fathers don't exist?","hate","notgiven","notgiven","original","dev",1,"GNZuCtwed3","1",NA
"80","acl10069",80,"Why are gay people always so bitter?","hate","notgiven","notgiven","original","dev",1,"LqLKTtrOmx","1",NA
"81","acl1007",81,"Blacks have a culture of rape","hate","notgiven","notgiven","original","train",1,"CAgNlUizNm","1",NA
"82","acl10070",82,"fuck this, my hamster is doing my nut in","nothate","none","none","original","dev",1,"QiOKkCi7F8","1",NA
